datetime,tariff,pod,kwh,kvarh,gkwh,gkvarh,kvah,gkvah,account_id,voltage_zone,transmission_zone,nmd,mec
2025-05-01 00:00:00,Megaflex Gen Urban,1159364720,153.5,0.0,0.0,0.0,153.5,0.0,9394667457,>132kV*,>900km,550,36000
2025-05-01 01:00:00,Megaflex Gen Urban,1159364720,147.75,0.0,0.0,0.0,147.75,0.0,9394667457,>132kV*,>900km,550,36000
2025-05-01 02:00:00,Megaflex Gen Urban,1159364720,148.25,0.0,0.0,0.0,148.25,0.0,9394667457,>132kV*,>900km,550,36000
2025-05-01 03:00:00,Megaflex Gen Urban,1159364720,143.5,0.0,0.0,0.0,143.5,0.0,9394667457,>132kV*,>900km,550,36000
2025-05-01 04:00:00,Megaflex Gen Urban,1159364720,148.25,0.0,0.0,0.0,148.25,0.0,9394667457,>132kV*,>900km,550,36000
2025-05-01 05:00:00,Megaflex Gen Urban,1159364720,145.25,0.0,0.0,0.0,145.25,0.0,9394667457,>132kV*,>900km,550,36000
2025-05-01 06:00:00,Megaflex Gen Urban,1159364720,145.75,0.0,0.0,0.0,145.75,0.0,9394667457,>132kV*,>900km,550,36000
2025-05-01 07:00:00,Megaflex Gen Urban,1159364720,181.25,0.0,4.75,33.75,181.25,34.082620204438506,9394667457,>132kV*,>900km,550,36000
2025-05-01 08:00:00,Megaflex Gen Urban,1159364720,121.75,0.0,2445.75,147.25,121.75,2450.178692463062,9394667457,>132kV*,>900km,550,36000
2025-05-01 09:00:00,Megaflex Gen Urban,1159364720,209.75,0.0,249.25,131.75,209.75,281.92840403194566,9394667457,>132kV*,>900km,550,36000
2025-05-01 10:00:00,Megaflex Gen Urban,1159364720,76.25,0.0,4616.5,428.0,76.25,4636.297687810825,9394667457,>132kV*,>900km,550,36000
2025-05-01 11:00:00,Megaflex Gen Urban,1159364720,149.25,0.0,4765.0,200.25,149.25,4769.205915296591,9394667457,>132kV*,>900km,550,36000
2025-05-01 12:00:00,Megaflex Gen Urban,1159364720,146.0,0.0,8413.75,105.25,146.0,8414.408275392869,9394667457,>132kV*,>900km,550,36000
2025-05-01 13:00:00,Megaflex Gen Urban,1159364720,238.0,0.0,157.75,206.0,238.0,259.46302723124154,9394667457,>132kV*,>900km,550,36000
2025-05-01 14:00:00,Megaflex Gen Urban,1159364720,233.75,0.0,334.5,204.5,233.75,392.0593067381515,9394667457,>132kV*,>900km,550,36000
2025-05-01 15:00:00,Megaflex Gen Urban,1159364720,263.25,0.0,1.75,17.25,263.25,17.338540884399702,9394667457,>132kV*,>900km,550,36000
2025-05-01 16:00:00,Megaflex Gen Urban,1159364720,131.75,0.0,2155.75,338.0,131.75,2182.0866303838625,9394667457,>132kV*,>900km,550,36000
2025-05-01 17:00:00,Megaflex Gen Urban,1159364720,356.75,0.0,0.0,0.0,356.75,0.0,9394667457,>132kV*,>900km,550,36000
